code,display
010.01,"COMPLESSO TUBERCOLARE PRIMARIO,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
010.02,"COMPLESSO TUBERCOLARE PRIMARIO,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
010.03,"COMPLESSO TUBERCOLARE PRIMARIO,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
010.04,"COMPLESSO TUBERCOLARE PRIMARIO,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
010.05,"COMPLESSO TUBERCOLARE PRIMARIO,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
010.06,"COMPLESSO TUBERCOLARE PRIMARIO,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
010.1,PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA
010.10,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,NON SPECIFICATA"
010.11,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
010.12,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
010.13,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
010.14,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
010.15,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
010.16,"PLEURITE TUBERCOLARE IN TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME BATTERIOLOGICO O ISTOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
010.8,ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA
010.80,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,NON SPECIFICATA"
010.81,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
010.82,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
010.83,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
010.84,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
010.85,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
010.86,"ALTRE FORME DI TUBERCOLOSI PRIMARIA PROGRESSIVA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
010.9,"INFEZIONE TUBERCOLARE PRIMARIA, NON SPECIFICATA"
010.90,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA"
010.91,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
010.92,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
010.93,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
010.94,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
010.95,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
010.96,"INFEZIONE TUBERCOLARE PRIMARIA,NON SPECIFICATA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011,TUBERCOLOSI POLMONARE
011.0,TUBERCOLOSI DEL POLMONE INFILTRATIVA
011.00,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,NON SPECIFICATA"
011.01,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.02,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.03,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.04,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.05,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.06,"TUBERCOLOSI DEL POLMONE INFILTRATIVA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.1,TUBERCOLOSI DEL POLMONE NODULARE
011.10,"TUBERCOLOSI DEL POLMONE NODULARE,NON SPECIFICATA"
011.11,"TUBERCOLOSI DEL POLMONE NODULARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.12,"TUBERCOLOSI DEL POLMONE NODULARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.13,"TUBERCOLOSI DEL POLMONE NODULARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.14,"TUBERCOLOSI DEL POLMONE NODULARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.15,"TUBERCOLOSI DEL POLMONE NODULARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.16,"TUBERCOLOSI DEL POLMONE NODULARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.2,TUBERCOLOSI DEL POLMONE CAVITARIA
011.20,"TUBERCOLOSI DEL POLMONE CAVITARIA,NON SPECIFICATA"
011.21,"TUBERCOLOSI DEL POLMONE CAVITARIA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.22,"TUBERCOLOSI DEL POLMONE CAVITARIA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.23,"TUBERCOLOSI DEL POLMONE CAVITARIA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.24,"TUBERCOLOSI DEL POLMONE CAVITARIA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.25,"TUBERCOLOSI DEL POLMONE CAVITARIA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.26,"TUBERCOLOSI DEL POLMONE CAVITARIA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.3,TUBERCOLOSI DEI BRONCHI
011.30,"TUBERCOLOSI DEI BRONCHI,NON SPECIFICATA"
011.31,"TUBERCOLOSI DEI BRONCHI,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.32,"TUBERCOLOSI DEI BRONCHI,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.33,"TUBERCOLOSI DEI BRONCHI,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.34,"TUBERCOLOSI DEI BRONCHI,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.35,"TUBERCOLOSI DEI BRONCHI,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.36,"TUBERCOLOSI DEI BRONCHI,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.4,FIBROSI TUBERCOLARE DEL POLMONE
011.40,"FIBROSI TUBERCOLARE DEL POLMONE,NON SPECIFICATA"
011.41,"FIBROSI TUBERCOLARE DEL POLMONE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.42,"FIBROSI TUBERCOLARE DEL POLMONE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.43,"FIBROSI TUBERCOLARE DEL POLMONE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.44,"FIBROSI TUBERCOLARE DEL POLMONE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.45,"FIBROSI TUBERCOLARE DEL POLMONE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.46,"FIBROSI TUBERCOLARE DEL POLMONE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.5,BRONCHIECTASIA TUBERCOLARE
011.50,"BRONCHIECTASIA TUBERCOLARE,NON SPECIFICATA"
011.51,"BRONCHIECTASIA TUBERCOLARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.52,"BRONCHIECTASIA TUBERCOLARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.53,"BRONCHIECTASIA TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.54,"BRONCHIECTASIA TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.55,"BRONCHIECTASIA TUBERCOLARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.56,"BRONCHIECTASIA TUBERCOLARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.6,POLMONITE TUBERCOLARE (OGNI FORMA)
011.60,"POLMONITE TUBERCOLARE (OGNI FORMA),NON SPECIFICATA"
011.61,"POLMONITE TUBERCOLARE (OGNI FORMA),ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.62,"POLMONITE TUBERCOLARE (OGNI FORMA),RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.63,"POLMONITE TUBERCOLARE (OGNI FORMA),ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.64,"POLMONITE TUBERCOLARE (OGNI FORMA),ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.65,"POLMONITE TUBERCOLARE (OGNI FORMA),ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.66,"POLMONITE TUBERCOLARE (OGNI FORMA),ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.7,PNEUMOTORACE TUBERCOLARE
011.70,"PNEUMOTORACE TUBERCOLARE,NON SPECIFICATA"
011.71,"PNEUMOTORACE TUBERCOLARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.72,"PNEUMOTORACE TUBERCOLARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.73,"PNEUMOTORACE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.74,"PNEUMOTORACE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.75,"PNEUMOTORACE TUBERCOLARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.76,"PNEUMOTORACE TUBERCOLARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.8,ALTRE FORME DI TUBERCOLOSI POLMONARE
011.80,"ALTRE FORME DI TUBERCOLOSI POLMONARE,NON SPECIFICATE"
011.81,"ALTRE FORME DI TUBERCOLOSI POLMONARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.82,"ALTRE FORME DI TUBERCOLOSI POLMONARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.83,"ALTRE FORME DI TUBERCOLOSI POLMONARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.84,"ALTRE FORME DI TUBERCOLOSI POLMONARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.85,"ALTRE FORME DI TUBERCOLOSI POLMONARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.86,"ALTRE FORME DI TUBERCOLOSI POLMONARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
011.9,TUBERCOLOSI POLMONARE NON SPECIFICATA
011.90,TUBERCOLOSI POLMONARE NON SPECIFICATA
011.91,"TUBERCOLOSI POLMONARE NON SPECIFICATA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
011.92,"TUBERCOLOSI POLMONARE NON SPECIFICATA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
011.93,"TUBERCOLOSI POLMONARE NON SPECIFICATA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
011.94,"TUBERCOLOSI POLMONARE NON SPECIFICATA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
011.95,"TUBERCOLOSI POLMONARE NON SPECIFICATA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
011.96,"TUBERCOLOSI POLMONARE NON SPECIFICATA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
012,ALTRE FORME DI TUBERCOLOSI DELL'APPARATO RESPIRATORIO
012.0,PLEURITE TUBERCOLARE
012.00,"PLEURITE TUBERCOLARE,NON SPECIFICATA"
012.01,"PLEURITE TUBERCOLARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
012.02,"PLEURITE TUBERCOLARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
012.03,"PLEURITE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
012.04,"PLEURITE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
012.05,"PLEURITE TUBERCOLARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
012.06,"PLEURITE TUBERCOLARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
012.1,TUBERCOLOSI DEI LINFONODI INTRATORACICI
012.10,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,NON SPECIFICATA"
012.11,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
012.12,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
012.13,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
012.14,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
012.15,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
012.16,"TUBERCOLOSI DEI LINFONODI INTRATORACICI,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
012.2,TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI
012.20,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,NON SPECIFICATA"
012.21,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
012.22,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
012.23,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
012.24,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
012.25,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
012.26,"TUBERCOLOSI ISOLATA DELLA TRACHEA E DEI BRONCHI,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
012.3,LARINGITE TUBERCOLARE
012.30,"LARINGITE TUBERCOLARE,NON SPECIFICATA"
012.31,"LARINGITE TUBERCOLARE,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
012.32,"LARINGITE TUBERCOLARE,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
012.33,"LARINGITE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
012.34,"LARINGITE TUBERCOLARE,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
012.35,"LARINGITE TUBERCOLARE,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
012.36,"LARINGITE TUBERCOLARE,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
012.8,ALTRE FORME DI TUBERCOLOSI RESPIRATORIA
012.80,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,NON SPECIFICATA"
012.81,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,ESAME BATTERIOLOGICO O ISTOLOGICO NON EFFETTUATO"
012.82,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,RISULTATO DELL'ESAME BATTERIOLOGICO O ISTOLOGICO NON CONOSCIUTO (ALLO STATO ATTUALE)"
012.83,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,ESAME MICROSCOPICO DELL'ESPETTORATO POSITIVO"
012.84,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,ESAME MICROSCOPICO DELL'ESPETTORATO NEGATIVO,MA CON ESAME COLTURALE POSITIVO"
012.85,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,ESAME BATTERIOLOGICO NEGATIVO,MA TUBERCOLOSI CONFERMATA ISTOLOGICAMENTE"
012.86,"ALTRE FORME DI TUBERCOLOSI RESPIRATORIA,ESAMI BATTERIOLOGICI O ISTOLOGICI NEGATIVI,MA TUBERCOLOSI CONFERMATA IN LABORATORIO CON ALTRI METODI"
013,TUBERCOLOSI DELLE MENINGI E DEL SISTEMA NERVOSO CENTRALE
013.0,MENINGITE TUBERCOLARE
013.00,"MENINGITE TUBERCOLARE,NON SPECIFICATA"
