normalized_brand,brand_example,ingredient_label,active_ingredients,observation_count,total_brand_observations,relative_frequency,rank,is_unique_top_candidate
augmentin,Augmentin,Amoxicillina/acido clavulanico,"[""Amoxicillina"", ""acido clavulanico""]",5,5,1.0,1,True
aurozeb,Aurozeb,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",11,11,1.0,1,True
averelix,Averelix,Clopidogrel,"[""Clopidogrel""]",1,1,1.0,1,True
avodart,Avodart,Dutasteride,"[""Dutasteride""]",26,26,1.0,1,True
awiqli,Awiqli,Insulina icodec,"[""Insulina icodec""]",2,2,1.0,1,True
azalia,Azalia,Desogestrel,"[""Desogestrel""]",1,1,1.0,1,True
azarga coll,Azarga coll.,Brinzolamide/timololo maleato,"[""Brinzolamide"", ""timololo maleato""]",2,3,0.6666666666666666,1,False
azarga coll,Azarga coll.,Timololo/bimatoprost,"[""Timololo"", ""bimatoprost""]",1,3,0.3333333333333333,2,False
azatioprina asp,Azatioprina asp,Azatioprina,"[""Azatioprina""]",2,2,1.0,1,True
azilect,Azilect,Rasagilina,"[""Rasagilina""]",3,3,1.0,1,True
bactrim,Bactrim,Trimetoprim/sulfametoxazolo,"[""Trimetoprim"", ""sulfametoxazolo""]",2,2,1.0,1,True
balcoga,Balcoga,Sildenafil,"[""Sildenafil""]",1,1,1.0,1,True
bassado,Bassado,Doxiciclina,"[""Doxiciclina""]",2,2,1.0,1,True
beclometasone for my,Beclometasone for my,Beclometasone/formoterolo,"[""Beclometasone"", ""formoterolo""]",1,1,1.0,1,True
becozym,Becozym,Tiamina nitrato/riboflavina/nicotinamide/piridossina cloridrato/calcio pantotenato/cianocobalamina/biotina,"[""Tiamina nitrato"", ""riboflavina"", ""nicotinamide"", ""piridossina cloridrato"", ""calcio pantotenato"", ""cianocobalamina"", ""biotina""]",2,2,1.0,1,True
benerva,Benerva,Tiamina,"[""Tiamina""]",3,3,1.0,1,True
benur,Benur,Doxazosina,"[""Doxazosina""]",1,1,1.0,1,True
betabioptal coll,Betabioptal coll.,Betametasone/cloramfenicolo,"[""Betametasone"", ""cloramfenicolo""]",1,1,1.0,1,True
bifril,Bifril,Zofenopril,"[""Zofenopril""]",2,2,1.0,1,True
biktarvy,Biktarvy,Bictegravir/emtricitabina/tenofovir alafenamide,"[""Bictegravir"", ""emtricitabina"", ""tenofovir alafenamide""]",1,1,1.0,1,True
bimadoc coll,Bimadoc coll.,Bimatoprost,"[""Bimatoprost""]",1,1,1.0,1,True
bimanext coll,Bimanext coll.,Bimatoprost,"[""Bimatoprost""]",1,1,1.0,1,True
binocrit,Binocrit,Epoetina alfa,"[""Epoetina alfa""]",11,11,1.0,1,True
bisoprololo doc,Bisoprololo doc,Bisoprololo,"[""Bisoprololo""]",5,5,1.0,1,True
bisoprololo san,Bisoprololo san,Bisoprololo,"[""Bisoprololo""]",89,89,1.0,1,True
bivis,Bivis,Olmesartan medoxomil/amlodipina,"[""Olmesartan medoxomil"", ""amlodipina""]",4,4,1.0,1,True
blopress,Blopress,Candesartan cilexetil,"[""Candesartan cilexetil""]",8,8,1.0,1,True
borghes,Borghes,Rosuvastatina,"[""Rosuvastatina""]",5,5,1.0,1,True
bosentan my,Bosentan my,Bosentan,"[""Bosentan""]",2,2,1.0,1,True
botinero,Botinero,Perindopril/amlodipina,"[""Perindopril"", ""amlodipina""]",2,2,1.0,1,True
bretaris genuair,Bretaris genuair,Aclidinio,"[""Aclidinio""]",3,3,1.0,1,True
brilique,Brilique,Ticagrelor,"[""Ticagrelor""]",24,24,1.0,1,True
brimica genuair,Brimica genuair,Aclidinio/formoterolo,"[""Aclidinio"", ""formoterolo""]",3,3,1.0,1,True
brintellix,Brintellix,Vortioxetina,"[""Vortioxetina""]",8,8,1.0,1,True
broncovaleas,Broncovaleas,Salbutamolo,"[""Salbutamolo""]",1,1,1.0,1,True
brufen,Brufen,Ibuprofene,"[""Ibuprofene""]",10,10,1.0,1,True
brufen grat per sol os,Brufen grat. per sol. os,Ibuprofene,"[""Ibuprofene""]",17,17,1.0,1,True
bunamol,Bunamol,Buprenorfina/naloxone,"[""Buprenorfina"", ""naloxone""]",1,1,1.0,1,True
busette,Busette,Buprenorfina,"[""Buprenorfina""]",1,1,1.0,1,True
cacit 1000,Cacit 1000,Calcio carbonato,"[""Calcio carbonato""]",6,6,1.0,1,True
cacit vit d3 grat per sol os,Cacit vit d3 grat. per sol. os,Calcio carbonato/colecalciferolo,"[""Calcio carbonato"", ""colecalciferolo""]",1,1,1.0,1,True
calciodie,Calciodie,Calcio carbonato,"[""Calcio carbonato""]",2,2,1.0,1,True
calciparina,Calciparina,Eparina calcica,"[""Eparina calcica""]",2,2,1.0,1,True
calcitriolo my,Calcitriolo my,Calcitriolo,"[""Calcitriolo""]",7,7,1.0,1,True
caravel,Caravel,Carvedilolo,"[""Carvedilolo""]",1,1,1.0,1,True
carbolithium,Carbolithium,Litio,"[""Litio""]",1,1,1.0,1,True
carbossimaltosio fe san dispers per infus,Carbossimaltosio fe san dispers. per infus.,Carbossimaltosio ferrico,"[""Carbossimaltosio ferrico""]",1,1,1.0,1,True
cardicor,Cardicor,Bisoprololo,"[""Bisoprololo""]",71,71,1.0,1,True
cardioaspirin,Cardioaspirin,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",227,227,1.0,1,True
cardioaspirina,Cardioaspirina,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",1,1,1.0,1,True
cardiospirin,Cardiospirin,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",1,1,1.0,1,True
cardiovasc,Cardiovasc,Lercanidipina,"[""Lercanidipina""]",1,1,1.0,1,True
cardirene,Cardirene,Acido acetilsalicilico,"[""Acido acetilsalicilico""]",12,12,1.0,1,True
cardol,Cardol,Olmesartan medoxomil,"[""Olmesartan medoxomil""]",2,2,1.0,1,True
cardura,Cardura,Doxazosina,"[""Doxazosina""]",23,23,1.0,1,True
carteol coll,Carteol coll.,Carteololo,"[""Carteololo""]",1,1,1.0,1,True
carvedilolo,Carvedilolo,Carvedilolo,"[""Carvedilolo""]",1,1,1.0,1,True
carvedilolo eg,Carvedilolo eg,Carvedilolo,"[""Carvedilolo""]",2,2,1.0,1,True
carvedilolo hex,Carvedilolo hex,Carvedilolo,"[""Carvedilolo""]",3,3,1.0,1,True
carvedilolo rat,Carvedilolo rat,Carvedilolo,"[""Carvedilolo""]",4,4,1.0,1,True
cefazolina teva,Cefazolina teva,Cefazolina,"[""Cefazolina""]",1,1,1.0,1,True
cefixima aur,Cefixima aur,Cefixima,"[""Cefixima""]",3,3,1.0,1,True
cefixoral,Cefixoral,Cefixima,"[""Cefixima""]",5,5,1.0,1,True
cefixoral grat per,Cefixoral grat. per,Cefixima,"[""Cefixima""]",2,2,1.0,1,True
ceftriaxone qilu,Ceftriaxone qilu,Ceftriaxone,"[""Ceftriaxone""]",4,4,1.0,1,True
ceptava,Ceptava,Acido micofenolico,"[""Acido micofenolico""]",2,2,1.0,1,True
cerchio,Cerchio,Cetirizina,"[""Cetirizina""]",2,2,1.0,1,True
certican,Certican,Everolimus,"[""Everolimus""]",1,1,1.0,1,True
cetirizina sand,Cetirizina sand,Cetirizina,"[""Cetirizina""]",1,1,1.0,1,True
cetirizina teva,Cetirizina teva,Cetirizina,"[""Cetirizina""]",2,2,1.0,1,True
cetirizina zent,Cetirizina zent,Cetirizina,"[""Cetirizina""]",1,1,1.0,1,True
cholecomb,Cholecomb,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",62,62,1.0,1,True
cialis,Cialis,Tadalafil,"[""Tadalafil""]",1,1,1.0,1,True
cibadrex,Cibadrex,Benazepril/idroclorotiazide,"[""Benazepril"", ""idroclorotiazide""]",1,1,1.0,1,True
cilostazolo san,Cilostazolo san,Cilostazolo,"[""Cilostazolo""]",2,2,1.0,1,True
cinacalcet aur,Cinacalcet aur,Cinacalcet,"[""Cinacalcet""]",1,1,1.0,1,True
cinacalcet vi,Cinacalcet vi,Cinacalcet,"[""Cinacalcet""]",1,1,1.0,1,True
cipralex,Cipralex,Escitalopram,"[""Escitalopram""]",2,2,1.0,1,True
ciprofloxacina,Ciprofloxacina,Ciprofloxacina,"[""Ciprofloxacina""]",1,1,1.0,1,True
ciproxin,Ciproxin,Ciprofloxacina,"[""Ciprofloxacina""]",1,1,1.0,1,True
ciqorin,Ciqorin,Ciclosporina,"[""Ciclosporina""]",1,1,1.0,1,True
circadin,Circadin,Melatonina,"[""Melatonina""]",4,4,1.0,1,True
citalopram,Citalopram,Citalopram,"[""Citalopram""]",1,1,1.0,1,True
citalopram abc,Citalopram abc,Citalopram,"[""Citalopram""]",4,4,1.0,1,True
citalopram doc,Citalopram doc,Citalopram,"[""Citalopram""]",1,1,1.0,1,True
citalopram eg,Citalopram eg,Citalopram,"[""Citalopram""]",6,6,1.0,1,True
citicolin,Citicolin,Citicolina,"[""Citicolina""]",1,1,1.0,1,True
clenil,Clenil,Beclometasone,"[""Beclometasone""]",2,2,1.0,1,True
clenil comp,Clenil comp,Beclometasone/salbutamolo,"[""Beclometasone"", ""salbutamolo""]",5,5,1.0,1,True
clexane,Clexane,Enoxaparina,"[""Enoxaparina""]",3,3,1.0,1,True
clexane t,Clexane t,Enoxaparina,"[""Enoxaparina""]",3,3,1.0,1,True
clopidogrel aur,Clopidogrel aur,Clopidogrel,"[""Clopidogrel""]",14,14,1.0,1,True
clopidogrel zen,Clopidogrel zen,Clopidogrel,"[""Clopidogrel""]",43,43,1.0,1,True
coaprovel,Coaprovel,Irbesartan/idroclorotiazide,"[""Irbesartan"", ""idroclorotiazide""]",1,1,1.0,1,True
coaredam,Coaredam,Rosuvastatina/amlodipina,"[""Rosuvastatina"", ""amlodipina""]",1,1,1.0,1,True
codamol,Codamol,Paracetamolo/codeina,"[""Paracetamolo"", ""codeina""]",7,7,1.0,1,True
colchicina lirca,Colchicina lirca,Colchicina,"[""Colchicina""]",46,46,1.0,1,True
colfri,Colfri,Rosuvastatina,"[""Rosuvastatina""]",1,1,1.0,1,True
compendium,Compendium,Bromazepam,"[""Bromazepam""]",1,1,1.0,1,True
compuna,Compuna,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",14,14,1.0,1,True
congescor,Congescor,Bisoprololo,"[""Bisoprololo""]",238,238,1.0,1,True
contramal,Contramal,Tramadolo,"[""Tramadolo""]",2,2,1.0,1,True
cordarone,Cordarone,Amiodarone,"[""Amiodarone""]",6,6,1.0,1,True
coripren,Coripren,Enalapril/lercanidipina,"[""Enalapril"", ""lercanidipina""]",2,2,1.0,1,True
cormeto,Cormeto,Metirapone,"[""Metirapone""]",1,1,1.0,1,True
cortone acetato,Cortone acetato,Cortisone,"[""Cortisone""]",1,1,1.0,1,True
cosopt coll,Cosopt coll.,Dorzolamide/timololo,"[""Dorzolamide"", ""timololo""]",3,3,1.0,1,True
cosyrel,Cosyrel,Bisoprololo/perindopril,"[""Bisoprololo"", ""perindopril""]",2,2,1.0,1,True
cotareg,Cotareg,Valsartan/idroclorotiazide,"[""Valsartan"", ""idroclorotiazide""]",11,11,1.0,1,True
coumadin,Coumadin,Warfarin,"[""Warfarin""]",50,96,0.5208333333333334,1,False
coumadin,Coumadin,Warfarin sodico,"[""Warfarin sodico""]",46,96,0.4791666666666667,2,False
coverlam,Coverlam,Perindopril/amlodipina,"[""Perindopril"", ""amlodipina""]",4,4,1.0,1,True
coversyl,Coversyl,Perindopril,"[""Perindopril""]",2,2,1.0,1,True
creon 10000ui,Creon 10000ui,Pancrelipasi,"[""Pancrelipasi""]",2,2,1.0,1,True
creon 25000ui,Creon 25000ui,Pancrelipasi,"[""Pancrelipasi""]",1,1,1.0,1,True
crestor,Crestor,Rosuvastatina,"[""Rosuvastatina""]",22,22,1.0,1,True
cusimolol coll,Cusimolol coll.,Timololo,"[""Timololo""]",2,2,1.0,1,True
cymbalta,Cymbalta,Duloxetina,"[""Duloxetina""]",2,2,1.0,1,True
dabigatran ete acc,Dabigatran ete acc,Dabigatran,"[""Dabigatran""]",4,4,1.0,1,True
dabigatran ete eg,Dabigatran ete eg,Dabigatran,"[""Dabigatran""]",5,5,1.0,1,True
dabigatran ete mv,Dabigatran ete mv,Dabigatran,"[""Dabigatran""]",1,1,1.0,1,True
daflon,Daflon,Diosmina/esperidina,"[""Diosmina"", ""esperidina""]",2,2,1.0,1,True
daparox,Daparox,Paroxetina,"[""Paroxetina""]",3,3,1.0,1,True
daptomicina ham,Daptomicina ham,Daptomicina,"[""Daptomicina""]",3,3,1.0,1,True
decadron,Decadron,Desametasone,"[""Desametasone""]",1,1,1.0,1,True
decuster,Decuster,Dutasteride,"[""Dutasteride""]",3,3,1.0,1,True
deflan,Deflan,Deflazacort,"[""Deflazacort""]",1,1,1.0,1,True
delecit,Delecit,Colina alfoscerato,"[""Colina alfoscerato""]",1,1,1.0,1,True
delorazepam alter,Delorazepam alter,Delorazepam,"[""Delorazepam""]",2,2,1.0,1,True
deltacortene,Deltacortene,Prednisone,"[""Prednisone""]",28,28,1.0,1,True
depakin,Depakin,Acido valproico,"[""Acido valproico""]",3,5,0.6,1,False
depakin,Depakin,Acido valproico/sodio valproato,"[""Acido valproico"", ""sodio valproato""]",2,5,0.4,2,False
depakin chrono,Depakin chrono,Acido valproico/sodio valproato,"[""Acido valproico"", ""sodio valproato""]",11,11,1.0,1,True
descovy,Descovy,Emtricitabina/tenofovir alafenamide,"[""Emtricitabina"", ""tenofovir alafenamide""]",1,1,1.0,1,True
deursil,Deursil,Acido ursodesossicolico,"[""Acido ursodesossicolico""]",11,11,1.0,1,True
diamicron,Diamicron,Gliclazide,"[""Gliclazide""]",1,1,1.0,1,True
diamox,Diamox,Acetazolamide,"[""Acetazolamide""]",10,10,1.0,1,True
dibase,Dibase,Colecalciferolo,"[""Colecalciferolo""]",10,10,1.0,1,True
dicoflor,Dicoflor,Nessun principio attivo,"[""Nessun principio attivo""]",5,5,1.0,1,True
dicoflor 60,Dicoflor 60,Nessun principio attivo,"[""Nessun principio attivo""]",3,3,1.0,1,True
dicovit dha plus 7 5ml,"Dicovit dha plus 7,5ml",Nessun principio attivo,"[""Nessun principio attivo""]",3,3,1.0,1,True
didrogyl,Didrogyl,Calcifediolo,"[""Calcifediolo""]",10,10,1.0,1,True
dilatrend,Dilatrend,Carvedilolo,"[""Carvedilolo""]",1,1,1.0,1,True
dilzene,Dilzene,Diltiazem,"[""Diltiazem""]",5,5,1.0,1,True
dincrel,Dincrel,Calcio carbonato/colecalciferolo,"[""Calcio carbonato"", ""colecalciferolo""]",1,1,1.0,1,True
dipperam hct,Dipperam hct,Amlodipina/valsartan/idroclorotiazide,"[""Amlodipina"", ""valsartan"", ""idroclorotiazide""]",1,1,1.0,1,True
diuresix,Diuresix,Torasemide,"[""Torasemide""]",1,1,1.0,1,True
domperidone abc,Domperidone abc,Domperidone,"[""Domperidone""]",1,1,1.0,1,True
domperidone my,Domperidone my,Domperidone,"[""Domperidone""]",1,1,1.0,1,True
domperidone sandoz,Domperidone sandoz,Domperidone,"[""Domperidone""]",1,1,1.0,1,True
donamet,Donamet,Ademetionina,"[""Ademetionina""]",1,1,1.0,1,True
donepezil auro,Donepezil auro,Donepezil,"[""Donepezil""]",1,1,1.0,1,True
dovato,Dovato,Dolutegravir/lamivudina,"[""Dolutegravir"", ""lamivudina""]",2,2,1.0,1,True
dromos,Dromos,Levopropionilcarnitina,"[""Levopropionilcarnitina""]",1,1,1.0,1,True
dropaxin,Dropaxin,Paroxetina,"[""Paroxetina""]",1,1,1.0,1,True
duloxetina alm,Duloxetina alm,Duloxetina,"[""Duloxetina""]",1,1,1.0,1,True
duloxetina auro,Duloxetina auro,Duloxetina,"[""Duloxetina""]",3,3,1.0,1,True
duloxetina zen,Duloxetina zen,Duloxetina,"[""Duloxetina""]",1,1,1.0,1,True
duoplavin,Duoplavin,Clopidogrel/acido acetilsalicilico,"[""Clopidogrel"", ""acido acetilsalicilico""]",33,33,1.0,1,True
duoresp spiromax,Duoresp spiromax,Budesonide/formoterolo,"[""Budesonide"", ""formoterolo""]",2,2,1.0,1,True
duotens,Duotens,Ramipril/amlodipina,"[""Ramipril"", ""amlodipina""]",2,2,1.0,1,True
eclipse,Eclipse,Ramipril,"[""Ramipril""]",5,5,1.0,1,True
ecubalin,Ecubalin,Pregabalin,"[""Pregabalin""]",1,1,1.0,1,True
efexor,Efexor,Venlafaxina,"[""Venlafaxina""]",6,6,1.0,1,True
efferalgan,Efferalgan,Paracetamolo,"[""Paracetamolo""]",1,1,1.0,1,True
efient,Efient,Prasugrel,"[""Prasugrel""]",3,3,1.0,1,True
elebrato ell,Elebrato ell,Vilanterolo/umeclidinio/fluticasone,"[""Vilanterolo"", ""umeclidinio"", ""fluticasone""]",2,2,1.0,1,True
eliquis,Eliquis,Apixaban,"[""Apixaban""]",68,68,1.0,1,True
elopram,Elopram,Citalopram,"[""Citalopram""]",2,2,1.0,1,True
emgality,Emgality,Galcanezumab,"[""Galcanezumab""]",1,1,1.0,1,True
en,En,Delorazepam,"[""Delorazepam""]",6,6,1.0,1,True
enapren,Enapren,Enalapril,"[""Enalapril""]",9,9,1.0,1,True
enoxaparina,Enoxaparina,Enoxaparina,"[""Enoxaparina""]",1,1,1.0,1,True
enoxaparina rovi,Enoxaparina rovi,Enoxaparina,"[""Enoxaparina""]",93,93,1.0,1,True
ensure plus advance cio4x220ml,Ensure plus advance cio4x220ml,Nessun principio attivo,"[""Nessun principio attivo""]",1,1,1.0,1,True
entact,Entact,Escitalopram,"[""Escitalopram""]",2,2,1.0,1,True
entresto,Entresto,Sacubitril/valsartan,"[""Sacubitril"", ""valsartan""]",77,77,1.0,1,True
envarsus,Envarsus,Tacrolimus,"[""Tacrolimus""]",2,2,1.0,1,True
epidyolex,Epidyolex,Cannabidiolo,"[""Cannabidiolo""]",1,1,1.0,1,True
epitiram,Epitiram,Levetiracetam,"[""Levetiracetam""]",2,2,1.0,1,True
eplerenone acc,Eplerenone acc,Eplerenone,"[""Eplerenone""]",4,4,1.0,1,True
erleada,Erleada,Apalutamide,"[""Apalutamide""]",1,1,1.0,1,True
escitalopram my,Escitalopram my,Escitalopram,"[""Escitalopram""]",1,1,1.0,1,True
escitalopram te,Escitalopram te,Escitalopram,"[""Escitalopram""]",3,3,1.0,1,True
esidrex,Esidrex,Idroclorotiazide,"[""Idroclorotiazide""]",2,2,1.0,1,True
esnoxiben,Esnoxiben,Eszopiclone,"[""Eszopiclone""]",2,2,1.0,1,True
esomeprazolo alt,Esomeprazolo alt,Esomeprazolo,"[""Esomeprazolo""]",2,2,1.0,1,True
esomeprazolo ari,Esomeprazolo ari,Esomeprazolo,"[""Esomeprazolo""]",1,1,1.0,1,True
eutirox,Eutirox,Levotiroxina,"[""Levotiroxina""]",111,111,1.0,1,True
evrenzo,Evrenzo,Roxadustat,"[""Roxadustat""]",1,1,1.0,1,True
exorta,Exorta,Rosuvastatina,"[""Rosuvastatina""]",2,2,1.0,1,True
ezateros,Ezateros,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",9,9,1.0,1,True
ezequa,Ezequa,Duloxetina,"[""Duloxetina""]",2,2,1.0,1,True
ezetimibe acc,Ezetimibe acc,Ezetimibe,"[""Ezetimibe""]",1,1,1.0,1,True
ezetimibe eg,Ezetimibe eg,Ezetimibe,"[""Ezetimibe""]",1,1,1.0,1,True
ezetimibe sim my,Ezetimibe sim my,Ezetimibe/simvastatina,"[""Ezetimibe"", ""simvastatina""]",1,1,1.0,1,True
ezetrol,Ezetrol,Ezetimibe,"[""Ezetimibe""]",10,10,1.0,1,True
ezevast,Ezevast,Ezetimibe/atorvastatina,"[""Ezetimibe"", ""atorvastatina""]",7,7,1.0,1,True
famotidina eg,Famotidina eg,Famotidina,"[""Famotidina""]",1,1,1.0,1,True
febuxostat au,Febuxostat au,Febuxostat,"[""Febuxostat""]",3,3,1.0,1,True
fenofibrato auro,Fenofibrato auro,Fenofibrato,"[""Fenofibrato""]",6,6,1.0,1,True
ferinject,Ferinject,Carbossimaltosio ferrico,"[""Carbossimaltosio ferrico""]",1,1,1.0,1,True
ferlixit,Ferlixit,Sodio ferrigluconato,"[""Sodio ferrigluconato""]",1,1,1.0,1,True
ferrodue,Ferrodue,Nessun principio attivo,"[""Nessun principio attivo""]",5,5,1.0,1,True
ferrograd,Ferrograd,Ferroso solfato,"[""Ferroso solfato""]",45,45,1.0,1,True
fertifol,Fertifol,Acido folico,"[""Acido folico""]",1,1,1.0,1,True
fiasp,Fiasp,Insulina aspart,"[""Insulina aspart""]",1,1,1.0,1,True
finasteride auro,Finasteride auro,Finasteride,"[""Finasteride""]",2,2,1.0,1,True
finasteride my,Finasteride my,Finasteride,"[""Finasteride""]",2,2,1.0,1,True
